码	调整前	调整后
bjkd	半开、搬开	搬开、半开
bjke	版刻	半颗、版刻
bjkf	比较开放	坂垦、比较开放
bjkj	办刊	班刊、办刊
bjkk	板块、版块、斑块	版块、板块、斑块
bjkl	不积跬步无以至千里	半筐、半框、不积跬步无以至千里
bjky	不仅可以、北京烤鸭	北京烤鸭、不仅可以
bjll	拌、扮靓	拌、半两、扮靓
bjlm	板脸	半脸、板脸
bjln	拌料、版聊、板料	板料、版聊、拌料
bjlq	扳、瓪	扳、瓪、半流
bjls	扮、绑架勒索	扮、斑龙、绑架勒索
bjlw	保加利亚妖王	绊雷、保加利亚妖王
bjly	班轮、保加利亚、病急乱投医	病急乱投医、保加利亚、班轮
bjmc	斑蝥	斑蝥、半毛
bjpk	扳平、半瓶	半瓶、扳平、半屏
bjqi	半旗、半期	半期、半旗
bjql	不近情理	板墙、不近情理
bjqq	半球、昄、板球、并驾齐驱	半球、昄、并驾齐驱、板球
bjqu	不计其数、坂井泉水	搬去、不计其数、坂井泉水
bjru	不久人世	搬入、不久人世
bjsc	悲剧色彩	班嫂、悲剧色彩
bjss	不假思索	搬送、不假思索
bjsu	半宿	伴宿、半宿
bjsv	伴随	伴随、半岁
bjti	比较突出	板梯、比较突出
bjtj	比较推荐、编辑推荐、边界条件	半瘫、比较推荐、编辑推荐、边界条件
bjtn	板条	半条、板条
bjtr	不见天日	班团、不见天日
bjts	伴同	半桶、伴同
bjtz	半头、班头	班头、半头
bjuf	半身、八九十分	半身、半神、八九十分
bjui	办事、板式、版式	办事、板式、搬屎、版式
bjuj	半山、北京时间	搬山、北京时间、半山
bjuu	半数、板书	半数、板书、半熟
bjuz	扳手、半兽、颁授、半截身子	扳手、半兽、半截身子、颁授
bjvc	不羁之才	办照、不羁之才
bjvd	并肩战斗、必经之地	必经之地、并肩战斗
bjve	伴着	伴着、板着
bjvh	班长、不久之后	班长、半张、不久之后
bjvi	扳指	半只、扳指
bjvr	板砖、搬砖	搬砖、板砖
bjvs	班中、拌种	班中、半钟、拌种
bjvu	班主、版主、背景知识	版主、班主、背景知识
bjwh	闆	闆、办网、搬往
bjwo	伴我	伴我、半卧
bjww	班委、比较委婉	班委、班味、比较委婉
bjxd	北京现代、不禁想到、拔尖选调	不禁想到、北京现代、拔尖选调
bjxi	扮戏、颁奖现场	扮戏、办席、颁奖现场
bjxk	版型、颁行	颁行、版型
bjxl	扮相、半箱	半箱、扮相
bjxm	半仙	半仙、绊线
bjxu	并肩携手、比较现实	半虚、比较现实、并肩携手
bjxx	半夏、不矜细行	半夏、搬下、不矜细行
bjxy	不讲信用、边际效应	班训、不讲信用、边际效应
bjyg	不拘一格、别具一格、波谲云诡、冰肌玉骨	别具一格、不拘一格、波谲云诡、冰肌玉骨
bjyh	不久以后、饱经忧患、北京银行、把酒言欢	版样、不久以后、把酒言欢、北京银行、饱经忧患
bjyu	不经一事、颁奖仪式	颁奖仪式、不经一事
bjzd	板载	半载、板载
bjzj	不见踪迹	班赞、不见踪迹
bjzv	拌嘴、并肩作战	拌嘴、半醉、并肩作战
bjzz	搬走、伴奏	伴奏、搬走
bkan	病案、并案	并案、病案
bkbf	不可不防	并苯、不可不防
bkbi	秉笔、不可不察	冰壁、秉笔、不可不察
bkbj	㓈	㓈、丙班
bkcg	冰层、并曾、不可错过、怲	冰层、不可错过、并曾、怲
bkcj	病残	冰蚕、病残
bkdc	冰岛、病倒、冰刀	病倒、冰岛、冰刀
bkdi	并蒂	冰帝、并蒂
bkds	冰冻、冰洞	冰冻、冰洞、病栋
bkdw	报考单位、比克大魔王	病得、报考单位、比克大魔王
bkff	冰粉	兵分、冰粉
bkfg	冰封、冰峰、不可分割	冰封、不可分割、冰峰
bkfu	兵符、禀赋、病夫	冰敷、兵符、禀赋、病夫
bkgc	冰糕、禀告	禀告、冰糕
bkgl	不可估量	冰光、不可估量
bkgr	不可告人	冰棺、不可告人
bkgw	不可沽名学霸王、餠	并给、餠、不可沽名学霸王
bkgz	并购	并购、病狗
bkhc	病号	病号、病好
bkhd	病害	病害、冰海
bkhe	冰河	冰河、冰核
bkho	冰火	冰火、并获
bkhz	病后	病后、冰厚
bkig	秉承、并称、冰城、饼铛、病程、寎、窉	秉承、并称、饼铛、冰城、病程、寎、窉
bkiy	丙醇	冰纯、丙醇
bkjb	并进	并进、并紧
bkji	丙级	并击、丙级
bkju	并举、病句、不可计数、不可接受	病句、并举、不可接受、不可计数
bkku	冰窟、冰库	冰库、冰窟
bklk	冰凌	冰凌、冰灵
bklm	并联	并联、冰恋
bklq	㨀	㨀、冰溜
bklw	丙类、本科论文	丙类、冰雷、本科论文
bkpi	兵痞	冰皮、兵痞
bkqi	摒弃、兵器	兵器、摒弃
bkqq	秉、冰球、不可强求	秉、不可强求、冰球
bkqu	病区、不可缺少	摒去、不可缺少、病区
bksi	病死	病死、冰丝
bktj	冰炭	冰炭、冰坛
bkts	病痛、并同、丙酮、别卡太死	病痛、并同、别卡太死、丙酮
bkuf	丙申	丙申、冰神
bkui	病史、病逝、兵士、冰释	病逝、病史、兵士、冰释
bkuu	不可收拾、不可胜数	不可胜数、不可收拾
bkvl	不可知论	饼状、不可知论
bkvs	并重、兵种、病重	病重、并重、兵种
bkvu	冰柱、秉烛、不可战胜	冰柱、病猪、不可战胜、秉烛
bkvx	不可置信	冰爪、不可置信
bkwh	病亡、不可挽回	病亡、兵王、不可挽回
bkwx	半开玩笑、不开玩笑	不开玩笑、半开玩笑
bkwy	闭口无言、不可外扬	不可外扬、闭口无言
bkxm	兵线	兵线、冰鲜
bkxq	不可小觑	冰袖、不可小觑
bkxx	不可想象、䔊	冰下、䔊、不可想象
bkyb	病因	病因、丙寅
bkyi	兵役、并以、不可言传	并以、兵役、不可言传
bkyj	不堪一击、不可预见、半框眼镜	冰焰、不堪一击、不可预见、半框眼镜
bkyk	兵营	兵营、并应
bkym	宾客盈门、不可以吗	不可以吗、宾客盈门
bkyr	病院、冰原、兵员、病原、病员、病源	冰原、病院、兵员、病原、病员、病源
bkyu	病愈、并于、不可一世、不可言说	并与、并于、病愈、不可一世、不可言说
bkyv	不可言状、不可预知	不可预知、不可言状
bkyz	病友、并有、并由	并有、并由、病友
bkzd	不可阻挡	并在、病灾、不可阻挡
bkzo	并作	并做、并作
blbl	不伦不类、巴拉巴拉、哔哩哔哩	哔哩哔哩、不伦不类、巴拉巴拉
blhj	兵连祸结、不留痕迹	不留痕迹、兵连祸结
bljm	保留剧目、保留节目	保留节目、保留剧目
blst	巴勒斯坦、不落俗套	不落俗套、巴勒斯坦
bluh	表里山河、不良嗜好	不良嗜好、表里山河
blut	比例失调、拨乱视听	拨乱视听、比例失调
blwy	暴露无遗、包罗万有、别来无恙	别来无恙、暴露无遗、包罗万有
blxw	玻璃纤维、暴力行为	暴力行为、玻璃纤维
blyx	不良影响、不利影响	不利影响、不良影响
bman	边岸	变暗、边岸
bmba	半明半暗、汴	便把、汴、半明半暗
bmbd	辩白、变白	变白、辩白
bmbj	编办	编办、编班
bmbm	便便	便便、变变
bmbn	闭门不纳	编标、闭门不纳
bmbo	辩驳	辩驳、变薄
bmcu	便民措施	变粗、便民措施
bmda	鞭打、变大	变大、鞭打
bmdc	编导、便道	便道、编导
bmdk	编订	编订、编定
bmdu	边度	边度、编读
bmdv	编队、本末倒置、报名地址	编队、便对、本末倒置、报名地址
bmdw	保密单位	便得、保密单位
bmfa	编发、变法	变法、编发
bmff	报名方法	扁粉、报名方法
bmfu	蝙蝠、便服	蝙蝠、变富、便服
bmfw	便民服务、不明飞行物	变肥、便民服务、不明飞行物
bmgf	表面功夫	便跟、表面功夫
bmgk	变乖	变乖、变怪
bmgl	部门管理	变光、变广、部门管理
bmgr	边关、贬官	贬官、边关
bmgv	变轨	变轨、边柜
bmhv	变回、便会、保密画质	便会、变回、保密画质
bmhx	变化	变化、编话
bmhz	便后、编后、变厚	便后、变厚、编后
bmic	百米冲刺、避免出错	煸炒、百米冲刺、避免出错
bmig	变成、编程、贬称、编成、边城、辩称	变成、编程、便乘、贬称、编成、边城、辩称
bmih	边长、变长	变长、边长
bmii	鞭笞、贬斥、便池、标明出处、北面称臣	鞭笞、贬斥、标明出处、北面称臣、便池
bmiu	病魔缠身	变出、辨出、病魔缠身
bmjk	边境、汴京	边境、汴京、辩经
bmjl	边疆、不明就里、不明觉厉	边疆、便将、不明觉厉、不明就里
bmjn	边角、变焦、缏、緶	变焦、边角、缏、緶
bmjq	编就	编就、变旧
bmka	边卡	变卡、边卡
bmll	变量、八面玲珑	变量、变亮、八面玲珑
bmlm	变脸	变脸、编练
bmlu	编录、边路	边路、编录
bmma	编码	编码、边骂
bmmj	闭门觅句	变慢、闭门觅句
bmmm	釆	釆、便面、变面
bmmu	编目、边牧	边牧、编目
bmnj	辩难	变难、辩难
bmnq	不美宁缺	变扭、不美宁缺
bmnu	不瞒您说、不瞒你说	不瞒你说、不瞒您说
bmpc	鞭炮	鞭炮、边跑
bmpd	编排	编排、变牌
bmqk	辨清	变轻、辨清
bmqm	变迁、便签	变迁、便签、变浅
bmqu	编曲、边区	编曲、便去、边区
bmrs	䉸	䉸、变容
bmru	编入	便如、编入
bmta	鞭挞、䪻	鞭挞、䪻、扁他、扁塌
bmtm	变天	变天、遍天
bmtp	𨚕	𨚕、扁铁
bmuf	变身、编审	变身、变深、编审
bmug	变声、北冥神功	变声、编绳、北冥神功
bmui	便是、便士、辨识、鞭尸	便是、鞭尸、便士、辨识
bmuo	辩说	边说、辩说
bmuu	变数	变数、编书
bmux	褊、徧	褊、徧、边耍
bmuz	辩手、变瘦	变瘦、辩手
bmva	卞、獱	卞、獱、变诈
bmvd	边寨、不毛之地	变窄、边寨、不毛之地
bmve	编者、贬谪	编者、贬谪、变着
bmvf	变阵	变阵、边镇
bmvi	编制、编织、贬值、变质、不明之处	编织、编制、贬值、不明之处、变质
bmvj	半面之交	变粘、半面之交
bmvr	编撰	编撰、变砖
bmvu	编著	编著、编注
bmvv	拔苗助长、百忙之中	百忙之中、拔苗助长
bmvy	不眠之夜、笔墨纸砚	变准、不眠之夜、笔墨纸砚
bmvz	扁舟、汴州、部门职责	汴州、部门职责、扁舟
bmwd	编外、表面温度、兵马未动	编外、边外、表面温度、兵马未动
bmwj	边玩	边玩、编完
bmxi	辨析、宝马香车	变细、辨析、宝马香车
bmxm	边线、变现	变现、边线
bmxy	保密协议	遍寻、保密协议
bmye	遍野、㣐	遍野、㣐、便也
bmyh	变样	变样、变羊
bmyi	贬义、变异、编译、便衣、白忙一场	变异、贬义、编译、白忙一场、便衣
bmyk	便应	变硬、便应
bmys	百密一疏	便用、百密一疏
bmyt	表面一套	便曰、表面一套
bmyz	便有	便有、便又
bmze	贬责	变则、贬责
bmzi	辫子、鞭子、闭门造车	鞭子、辫子、闭门造车
bmzo	变作	变作、边做
bmzv	扁嘴	扁嘴、边罪
bmzz	变奏	变奏、边走
bnbd	表白、半年不到	表白、表伯、半年不到
bncc	骉	骉、藨草
bndk	标定	标顶、标定
bndy	百年大业、百年第一、謤	百年第一、百年大业、謤
bner	表二、㶾、䙳、爂	表耳、㶾、䙳、爂、表二
bngc	标高	标高、飙高
bngd	百年孤独	表盖、百年孤独
bngj	标杆	标杆、标竿
bngr	表观、鑣	标贯、鑣、表观
bnjb	标金	表紧、标金
bnke	镖客、表壳	表壳、镖客
bnlm	表链	表链、表脸
bnpj	表盘	表盘、镖盘
bnqi	骠骑、镖旗	镖旗、表旗、骠骑
bnuh	标上	标上、表上
bnuk	表率	表率、表帅
bnur	百年树人、不能胜任	不能胜任、百年树人
bnvl	彪壮	标桩、彪壮
bnvr	臕	臕、标砖
bnwd	暴虐无道	表外、暴虐无道
bnww	表位	表位、表尾
bnxm	表现、标线、不能幸免	表现、不能幸免、标线
bnxu	不能显示	表虚、不能显示
bnyy	百年一遇、鳔、㟽、鰾	飑云、鳔、㟽、鰾、百年一遇
bnzi	婊子	婊子、彪子
bodc	驳倒、博导	博导、驳倒
boge	玻	玻、伯格
bogu	博古、波谷	波谷、博古
boir	驳船	泊船、驳船
boji	搏击、波及、簸箕	波及、搏击、薄肌、簸箕
bojk	脖颈	脖颈、铂晶
boka	钹	钹、博卡
bolj	波兰、波澜、博览	波澜、波兰、博览
boll	拨粮、癶	薄凉、癶、拨粮
bolq	拨	拨、波流
boma	瓝	瓝、薄码
bopm	拨片	拨片、播片
bopu	波普、波谱	波谱、波普
boqi	勃起	勃起、波奇
bory	箔、煿、簙	箔、煿、簙、博润
boss	播送、䂍	播送、䂍、泊松
botc	波涛	波涛、脖套
botv	艴	艴、跛腿、波推
bovj	搏战	博展、搏战
bovo	䑈	䑈、剥啄
bovu	博主	博主、播主
bowu	薄雾、博物	博物、薄雾
boxk	波形	波形、跛行
boyi	博弈	博弈、驳议
boze	跛	跛、博泽
bpcd	别猜	别猜、别裁
bpde	别的	憋得、别的
bpfu	编排方式	别付、编排方式
bpgo	别国	别国、别过
bphs	别、別	别、別、别红
bpig	别称	别称、憋成
bpij	剥皮抽筋	别馋、剥皮抽筋
bpir	别传、别穿	别穿、别传
bpiu	别处	别处、憋出
bpjb	补偏救弊	别进、补偏救弊
bpjm	编排节目	别见、编排节目
bpjn	蹩脚	蹩脚、别叫
bpjp	别介	别介、别接
bple	别了	别了、憋了
bplj	杯盘狼藉、䋢	别懒、䋢、杯盘狼藉
bpma	蛂	蛂、别骂
bpre	别惹	别热、别惹
bprf	别人	别人、别忍
bptk	别听	别听、别停
bpud	半瓶水响叮当	别晒、半瓶水响叮当
bpvc	䏟	䏟、别找
bpwa	䭱	䭱、别挖
bpxu	别绪	别虚、别绪
bpxx	别下	别吓、别下
bpzd	别再	别再、憋在
bpzj	不怕贼偷，就怕贼惦记、不怕贼偷就怕贼惦记	别赞、不怕贼偷，就怕贼惦记、不怕贼偷就怕贼惦记
bpzv	瘪嘴	瘪嘴、别醉
bqbh	不前不后、版权保护、表情变化	版权保护、不前不后、表情变化
bsbj	百思不解、百思不得其解、不松不紧、百思不得其姐	百思不得其解、百思不解、不松不紧、百思不得其姐
bsbl	半丝半缕、不塞不流	不塞不流、半丝半缕
btdj	八抬大轿、不太对劲、白天到夜间	不太对劲、八抬大轿、白天到夜间
btlx	不同类型、不太理想	不太理想、不同类型
btud	摆摊设点、不同时代	不同时代、摆摊设点
btyb	不同一般、不提也罢	不提也罢、不同一般
buan	不安	不安、不按
buba	㳍	㳍、不把
bubc	不薄、补报、变生不测	变生不测、不薄、补报
bubf	不是办法	不笨、不是办法
bubg	拜神拜鬼	不蹦、拜神拜鬼
bubk	步兵、不声不吭、彼时彼刻	步兵、补兵、不声不吭、彼时彼刻
bubl	不衫不履、百试百灵	百试百灵、不衫不履
bubm	不便、不变、不生不灭	不变、不便、不生不灭
bubu	步步、补补、半生不熟、半熟不熟	补补、步步、半生不熟、半熟不熟
bubw	不备	不被、不备
buca	怖	怖、不擦
bucc	布草	布草、不糙
bucd	不才、不猜	不猜、不才
buce	不测	不测、补测
buda	不大	不搭、不大
budi	不敌	不低、不敌
budj	不但、不单、不丹、补单	不但、补单、不单、不丹
budk	布丁、补丁、不定	补丁、布丁、不定
budm	布点	不点、布点
budp	不迭	不迭、不跌
budq	比啥都强、誧、䊇	不丢、誧、䊇、比啥都强
buds	不动、不懂	不懂、不动
budv	不对、部队	不对、部队、补兑
buee	䑰	䑰、不饿
buer	布尔、不二	不二、布尔
buff	部分、不分、不忿	部分、不忿、不分
bufh	不妨、布防、不放、别说废话	不妨、不放、别说废话、布防
bufu	不服、不符、不负、不复	不符、不服、不负、不复
bugc	布告	不高、布告
buge	步、歩、㻉	步、歩、㻉、不隔
bugh	餢	餢、不港
bugj	不甘、不敢、不胜感激、保守估计	不敢、不甘、保守估计、不胜感激
bugu	不顾、布谷、北上广深	不顾、北上广深、布谷
bugv	不轨、备受关注	备受关注、不轨
bugw	补给、倍受鼓舞	不给、补给、倍受鼓舞
buhc	不好	不好、补号、布豪
buhk	不是很快	不坏、不是很快
buhu	白山黑水、不说话装高手	不说话装高手、白山黑水
buhy	不婚	不混、不婚
buii	不迟、不齿、不啻	不迟、不吃、不齿、不啻
buij	不是长久之计	不产、不是长久之计
buio	不辍	不戳、不辍
buis	补充	补充、捕虫
buiu	步出、不出、不胜传说	不出、步出、不胜传说
bujm	不见、部件	部件、不见
bujn	补交、不叫	不叫、补交
bujp	不解	不解、不洁
bujr	不倦	不捐、不倦
bujt	不觉、补觉、不绝	不觉、不绝、补觉
buju	布局、不惧、不拘、本身就是	布局、不惧、本身就是、不拘
bujy	不均	不均、步军
buka	钚、钸	钚、钸、不卡
bukh	宝山空回、别墅靠海	别墅靠海、宝山空回
buks	布控	布控、不空
bula	抪	抪、不啦
buld	不赖、不来、本硕连读	不来、不赖、本硕连读
bulj	闭上了眼睛、表示理解、不甚了解	补篮、闭上了眼睛、表示理解、不甚了解
buln	布料、不料	不料、布料
bulp	捕猎	捕猎、不列
bulr	备受凌辱	不乱、备受凌辱
bulw	不累、布雷、博士论文	不累、博士论文、布雷
buma	补码	补码、不嘛
bumd	不买	不买、不卖
bumi	䪁	䪁、不迷
bumu	背山面水	不睦、背山面水
bumw	不美	不美、不寐
bunh	䬏	䬏、布囊
bunm	不是那么	步辇、不是那么
buny	饱食暖衣、不是那样	不是那样、饱食暖衣
buou	布偶	布偶、布欧
buph	䴺	䴺、不胖
buqk	不清	不轻、不清
buql	步枪	步枪、补枪
buqm	补签	补签、不签
buqr	补全、不全、鵏	不全、补全、鵏
buqt	补缺、不缺、喸	不缺、补缺、喸
buqy	𬷕、不群、布裙	𬷕、布裙、不群
burj	不然、变声软件	不然、不染、变声软件
buro	不若	不弱、不若
busi	不死	不死、不似
busj	布伞、不散	不散、布伞
busr	不算	不算、卜算
busu	不俗	不俗、不素
butc	不逃	布套、不逃
butd	步态、不太	不太、步态
bute	埗、不特	埗、布特、不特
butm	补天	补天、不填
butn	布条	布条、不调
butu	不图、本是同根生	本是同根生、不图
buty	表示同意、㙛	不吞、㙛、表示同意
butz	布头、捕头	捕头、布头
buuh	不是时候	补上、不是时候
buuu	部署、步数、部属、跋山涉水	部署、步数、跋山涉水、部属
buuz	部首、不受、不熟	不受、不收、部首、不熟
buvd	不是真的	不摘、不是真的
