a	啊
kclo	拷
kcoo	栲
kcpo	考
kcrn	㸆
kcro	烤
kdca	慨
kdcr	忾
kdcv	恺
kdkv	铠
kdkx	锎
kdky	锴
kdly	揩
kdnx	开
kdoy	楷
kdra	炌
kdtv	垲
kdwv	闿
kdxy	蒈
kdyn	凯
kdys	剀
keba	溘
kebw	渴
keco	骒
kecq	恪
kedo	课
keey	轲
kegy	珂
keha	嗑
kehg	咳
keio	窠
keiq	客
keja	磕
kejm	缂
keko	锞
kemp	蝌
keny	牁
keoo	棵
keoy	柯
kepa	克
keqa	瞌
keqz	颗
kera	氪
kery	炣
kesy	疴
ketn	壳
kety	坷
keuo	髁
kevs	刻
kevz	颏
kewh	匼
kewo	稞
kewp	科
kexy	苛
keyy	可
keyy	岢
kfcc	恳
kfct	垦
kfgv	肯
kfhv	啃
kfuc	裉
kghn	吭
kgje	硁
kgkt	铿
kgtn	坑
khcb	慷
khdb	糠
khfn	伉
khkn	钪
khle	扛
khln	抗
khrn	炕
khsb	康
khtb	𡐓
khvn	亢
khwn	闶
khyb	𩾌
kjfa	侃
kjgd	龛
kjiq	看
kjjg	砍
kjjp	磡
kjkw	衎
kjmp	勘
kjmr	戡
kjoa	槛
kjqq	瞰
kjtg	坎
kjto	堪
kjtp	墈
kjwq	阚
kjws	刊
kjxg	莰
kjyg	崁
kjyo	嵁
kkcn	快
kkft	侩
kkgp	郐
kkgt	会
kkht	哙
kklw	㧟
kkrn	筷
kktn	块
kkvt	狯
kkvt	脍
kkxs	蒯
kkyt	鲙
klba	况
klbg	洭
kldg	诓
kldg	诳
klhg	哐
kljs	纩
kljs	矿
klna	夼
klog	框
klqg	眶
klqs	旷
klrg	筐
klsp	邝
klts	圹
klvg	狂
klvy	𫛭
klwg	匡
klza	贶
kolh	括
kols	扩
komh	蛞
kosp	廓
kowh	阔
kriz	宽
krtg	款
kruz	髋
ksec	恐
ksfe	倥
ksie	空
ksje	硿
ksle	控
ksno	孔
ksre	箜
kste	埪
ksye	崆
kueh	酷
kues	圐
kuhn	哭
kuih	喾
kuiy	窟
kujl	矻
kujo	绔
kuns	刳
kuop	枯
kuse	库
kuue	裤
kuup	骷
kuxp	苦
kvaq	夔
kvaz	馈
kvbz	溃
kvcm	悝
kvcn	骙
kvcp	愧
kvcz	愦
kvdy	馗
kvez	聩
kvfp	傀
kvht	喹
kvhv	喟
kviz	窥
kvln	揆
kvlr	戣
kvmt	蝰
kvno	亏
kvnt	奎
kvop	櫆
kvpa	盔
kvpp	魁
kvpz	𫠆
kvqn	暌
kvqn	睽
kvrt	煃
kvrz	篑
kvtp	逵
kvwz	匮
kvxn	葵
kvxz	蒉
kvyq	岿
kvzt	跬
kwps	剋
kxfo	侉
kxlo	挎
kxno	夸
kxto	垮
kxvo	胯
kxzo	跨
kxzo	姱
kyco	悃
kyeo	困
kyet	醌
kygt	琨
kykt	锟
kylo	捆
kyna	髡
kyqt	昆
kyqy	鹍
kyrt	焜
kyst	堃
kytp	坤
kytw	壸
kyue	裈
kywo	阃
kyyt	鲲
kyzt	婫
kzhh	口
kzhp	叩
kziq	寇
kzlh	扣
kzln	抠
kzon	𫸩
kzqn	眍
kzrh	筘
kzxo	芤
kzxq	蔻
laap	邋
laap	辣
laha	啦
lahs	喇
laja	砬
lako	镴
lala	拉
lama	鞡
lamq	蜡
lams	蝲
laps	剌
laqd	旯
lass	瘌
lata	垃
lavq	腊
laxq	落
lays	𬶟
lbah	吝
lbbo	淋
lbbw	潾
lbby	凛
lbco	霖
lbcw	𬴊
lbcy	懔
lbdm	翷
lbdo	粼
lbdp	遴
lbew	辚
lbfz	赁
lbgo	琳
lbgw	璘
lbho	啉
lbjw	磷
lbkw	𬭸
lbkw	麟
lblz	拎
lbna	临
lboo	林
lboy	檩
lbqw	瞵
lbro	箖
lbsy	廪
lbvw	膦
lbxg	蔺
lbyw	嶙
lbyw	鳞
lbzg	躏
lbzp	邻
lcbp	涝
lcee	醪
lceq	酪
lcft	佬
lchp	唠
lcic	牢
lcjq	络
lckp	铹
lckt	铑
lclp	捞
lcnp	耢
lcot	栳
lcpt	老
lcrq	烙
lcsp	痨
lctp	𫭼
lcxp	劳
lcxq	落
lcxt	荖
lcyp	崂
lcze	嫪
lczt	姥
ldbi	涞
ldbz	濑
ldfi	俫
ldii	来
ldiz	赉
ldki	铼
ldoi	梾
ldpz	赖
ldqi	睐
ldrz	籁
ldsz	癞
ldui	徕
ldxi	莱
ldyi	崃
leaq	饹
lebp	泐
ledd	乐
lefp	仂
lehp	叻
lemp	勒
lenn	了
lerp	簕
leyp	鳓
lgbz	冷
lgcs	愣
lgoq	棱
lgos	楞
lgtq	堎
lgts	塄
lgyq	崚
lhao	㮾
lhap	郎
lhat	塱
lhav	朗
lhbc	浪
lhgc	琅
lhhp	啷
lhkc	锒
lhmp	螂
lhoc	桹
lhop	榔
lhqc	㫰
lhrc	筤
lhrc	烺
lhsp	廊
lhtc	埌
lhvc	狼
lhwc	稂
lhwc	阆
lhxc	蒗
lhxc	莨
lhxv	蓢
lhyc	崀
liaa	立
liad	詈
liag	罹
libb	漓
libm	浬
libn	澧
libo	溧
libo	凓
libp	沥
libr	浰
licp	雳
licy	骊
lida	粒
lidz	粝
lieb	醨
lied	轹
lien	醴
lieo	栗
lifm	俚
lifo	傈
lifr	俐
lifs	例
lify	俪
ligb	璃
ligd	𬍛
ligm	理
ligp	珕
lihm	喱
lihm	哩
lihn	唳
lihp	呖
liin	戾
lijb	缡
lijd	砾
lijz	砺
likm	锂
limm	里
limr	蜊
limz	蛎
linn	鬲
linn	吏
liob	㰀
liod	栎
lion	李
liop	枥
liop	朸
lipp	力
liqb	隶
liqm	蠡
lira	笠
lirb	篱
lirc	犁
liro	梨
liro	篥
lirr	利
lism	厘
liso	疠
lisp	疬
lisp	历
lisr	痢
litp	坜
liuo	礼
livb	离
livm	狸
livr	猁
liwb	黎
liwr	黧
lixa	莅
lixb	藜
lixb	蓠
lixp	荔
lixp	苈
lixr	莉
liym	鲤
liyn	鳢
liyp	郦
liyp	逦
liyp	𫵷
liyy	鹂
liyy	鲡
liyy	丽
liyz	嫠
lizd	跞
lizm	娌
lizp	励
lizz	厉
ljak	罱
ljan	兰
ljap	斓
ljba	滥
ljbp	澜
ljbz	漤
ljcz	懒
ljdp	谰
ljjz	𬒗
ljjz	缆
ljkp	镧
ljln	拦
ljlz	揽
ljnz	览
ljon	栏
ljoz	榄
ljoz	婪
ljra	篮
ljrn	烂
ljua	褴
ljup	襕
ljwp	阑
ljxa	蓝
ljyn	岚
lkbq	凌
lkbz	泠
lkbz	澪
lkcp	酃
lkcq	㥄
lkcz	零
lkez	囹
lkez	舲
lkez	聆
lkfz	伶
lkgz	龄
lkgz	玲
lkhp	另
lkhz	呤
lkiz	羚
lkjq	绫
lkkz	铃
lkmz	蛉
lkoq	棱
lkor	棂
lkoz	柃
lkpq	陵
lkqr	灵
lkqz	昤
lktz	坽
lkuq	祾
lkxq	菱
lkxz	苓
lkyq	鲮
lkyz	岭
lkzl	瓴
lkzm	翎
lkzy	鸰
lkzz	令
lkzz	姈
lkzz	领
llac	良
llbd	粱
llbg	凉
llbo	梁
llcc	悢
lldc	粮
lldg	谅
lleg	辌
lley	辆
llfc	俍
llfy	俩
lljg	𫟅
llog	椋
llpy	魉
llqg	晾
llqm	量
llto	墚
llun	亮
llwz	靓
llxc	莨
llxy	𬜯
llyy	两
llzc	踉
lmbh	濂
lmbp	涟
lmbq	潋
lmbr	浰
lmcz	怜
lmen	联
lmep	连
lmgp	瑓
lmgp	琏
lmia	帘
lmje	练
lmkh	镰
lmkp	链
lmlt	殓
lmmh	蠊
lmnn	奁
lmop	梿
lmop	楝
lmpc	恋
lmre	炼
lmsh	廉
lmtq	敛
lmup	裢
lmut	裣
lmvt	脸
lmxp	莲
lmxq	蔹
lmyp	𬶠
lmyp	鲢
lnbe	漻
lnbg	潦
lncg	憭
lndp	料
lnej	聊
lnfg	僚
lnhg	嘹
lnie	寥
lnig	寮
lnjg	缭
lnkg	镣
lnkn	钌
lnlg	撩
lnlq	撂
lnnn	了
lnnp	辽
lnny	鹩
lnog	橑
lnpa	尥
lnqg	瞭
lnrg	簝
lnrg	燎
lnse	廖
lnsn	疗
lnte	𪤗
lnue	髎
lnvg	獠
lnxe	蓼
lnzg	蹽
lnzg	嫽
loal	罗
loap	逻
lobd	泺
lobj	漯
lobq	洛
locj	骡
locq	骆
lofo	倮
logq	珞
lohl	啰
lohq	咯
lojq	络
lokl	锣
lolj	摞
loly	捋
lomj	螺
lool	椤
loqg	雒
lorl	箩
lorq	烙
losj	瘰
louo	裸
lovg	脶
lovl	猡
lowm	蠃
loxc	荦
loxl	萝
loxm	蓏
loxq	落
lpbs	洌
lpbs	冽
lpgp	劣
lphs	咧
lpln	裂
lpln	捩
lplr	烈
lpls	列
lply	䴕
lpno	鬣
lpty	埒
lpvq	猎
lpvy	脟
lpyo	𫚭
lpys	峛
lpzo	躐
lpzs	趔
lqap	罶
lqap	馏
lqas	刘
lqba	流
lqbg	瑬
lqbk	鎏
lqbp	溜
lqbs	浏
lqcp	骝
lqga	琉
lqgj	珋
lqja	硫
lqjb	碌
lqjh	绺
lqka	锍
lqke	镠
lqkp	镏
lqlp	遛
lqlp	留
lqly	鹠
lqmy	鹨
lqnp	飗
lqoj	柳
lqop	榴
lqpe	疁
lqpz	陆
lqrp	熘
lqsa	旒
lqsp	瘤
lqva	六
lrbo	滦
lrjj	卵
lrpg	脔
lrpk	銮
lrpl	挛
lrpn	孪
lrpo	栾
lrpy	鸾
lrpy	峦
lrpz	娈
lrwo	乱
lsbd	泷
lsbw	漋
lsdd	龙
lsde	聋
lsdj	砻
lsdt	垄
lsgd	珑
lsgx	弄
lshd	咙
lshx	哢
lsiw	窿
lsld	拢
lsod	栊
lspd	陇
lspw	隆
lsqd	昽
lsqd	眬
lsrd	笼
lsrz	𬕂
lssw	癃
lsvd	胧
lsxd	茏
ltec	圙
ltky	锊
ltlg	掠
ltpq	略
ltwj	䂮
luai	卢
luan	卤
luap	虏
luay	鸬
luaz	颅
lubb	渌
lubi	泸
lubk	漉
lubq	潞
lubq	澛
lucb	𫘧
lucq	露
luei	舻
luei	轳
luek	辘
luel	甪
lueq	辂
lufe	僇
lugb	琭
lugq	璐
luhq	噜
lujb	绿
lujb	碌
luki	𬬻
lukk	鹿
lukq	镥
lulp	掳
lulq	撸
lump	勠
lumq	氇
lumr	戮
luoi	栌
luok	麓
luoq	橹
lupz	陆
luqb	录
luqp	逯
lurb	箓
luri	炉
lurk	簏
lusi	庐
luti	垆
luub	禄
luvi	胪
luwt	稑
luxb	菉
luxi	芦
luxq	蕗
luyi	鲈
luyq	鲁
luzq	赂
luzq	路
luzy	鹭
lvac	虑
lvbc	滤
lvci	驴
lvfh	侣
lvfz	偻
lvhh	吕
lviq	履
lviz	屡
lvjb	绿
lvjz	缕
lvkh	铝
lvly	捋
lvoh	梠
lvoh	榈
lvrb	氯
lvsk	旅
lvsv	膂
lvtq	垏
lvuq	律
lvuz	褛
lvvp	率
lvvz	𦝼
lvwh	稆
lvwh	闾
lvxq	葎
lwbq	泪
lwcp	雷
lwdn	类
lwdo	诔
lwey	酹
lwfp	儡
lwhp	嘞
lwjj	缧
lwjj	磊
lwjp	礌
lwkp	镭
lwlp	擂
lwmp	勒
lwno	耒
lwop	檑
lwpj	累
lwpz	罍
lwsp	癗
lwtt	垒
lwvp	肋
lwwk	羸
lwxp	藟
lwxp	蕾
lwzj	嫘
lxfy	俩
lybt	沦
lydt	论
lyet	囵
lyet	轮
lyft	伦
lygt	仑
lyjt	纶
lykt	𬬭
lylt	抡
lytt	𫭢
lzbc	漏
lzbz	溇
lzcq	露
lzdz	娄
lzfz	偻
lzhz	喽
lzkz	镂
lzlz	搂
lzmz	蝼
lzns	剅
lznz	耧
lzoz	楼
lzpo	陋
lzqz	䁖
lzrz	篓
lzsz	瘘
lztz	𪣻
lzuz	髅
lzvz	𦝼
lzxz	蒌
lzyz	嵝
macc	马
magc	玛
mahc	骂
mahc	吗
maho	嘛
majc	码
maly	抹
mamc	蚂
mamt	蟆
maoc	杩
masl	摩
maso	麻
mauc	祃
mavc	犸
mazc	妈
mbaa	皿
mbac	忞
mbbq	湣
mbbu	泯
mbca	悯
mbfq	敏
mbfy	鳘
mbgu	珉
mbhp	黾
mbjq	缗
mblu	抿
mbqa	旻
mbuc	愍
mbuu	民
mbwa	闵
mbwm	闽
mbxu	苠
mbyu	岷
mcaq	帽
mcbj	泖
mccm	牦
mcea	貌
mcgq	瑁
mcjj	卯
mckj	铆
mckp	锚
mclz	贸
mcmm	毛
mcne	袤
mcnm	髦
mcoc	懋
mcoo	楙
mcpm	耄
mcqj	昴
mcqm	眊
mcse	矛
mcsm	蝥
mcsm	旄
mcsm	蟊
mcsq	瞀
mctp	鄚
mcvp	猫
mcwq	冒
mcxe	茅
mcxj	茆
mcxm	芼
mcxr	茂
mcyj	峁
mdcm	霾
mdhq	唛
mdkq	鿏
mdnp	劢
mdnp	迈
mdon	买
mdpn	卖
mdtm	埋
mdvr	脉
mdwq	麦
mdxn	荬
meet	么
mfbc	懑
mfbh	呇
mffw	们
mfgy	𫞩
mfkw	钔
mflw	扪
mfrc	焖
mfwc	闷
mfww	门
mgae	幪
mgcq	懵
mgea	艋
mgee	艨
mghp	𫑡
mgje	礞
mgka	锰
mgma	蜢
mgme	蠓
mgmo	虻
mgna	孟
mgnp	勐
mgoe	檬
mgol	梦
mgqa	盟
mgva	猛
mgve	朦
mgve	獴
mgxe	蒙
mgxl	甍
mgxq	瞢
mgxv	萌
mgxy	鹲
mgye	㠓
mhbx	漭
mhca	牻
mhco	牤
mhco	忙
mhjo	硭
mhmx	蟒
mhoo	杧
mhpa	尨
mhsa	厖
mhvp	邙
mhvq	盲
mhvu	氓
mhxo	茫
mhxo	芒
mhxx	莽
mial	芈
mibc	泌
mibd	洣
mibq	汨
mida	谧
midd	米
midp	谜
midp	迷
midq	敉
mied	醾
miep	醚
mihd	咪
mihy	嘧
miia	幂
miic	宓
miim	蜜
miiy	密
mikd	麋
mimz	觅
mioe	弭
miog	弥
miqd	眯
misd	糜
misj	縻
misn	靡
miuc	祕
miug	祢
mivd	脒
mivg	猕
miwc	秘
mixa	蓂
mixn	蘼
mjaq	幔
mjaq	馒
mjbq	漫
mjby	满
mjcq	慢
mjdq	谩
mjjq	缦
mjkq	镘
mjmr	鞔
mjmy	螨
mjnq	鬘
mjpm	蛮
mjqq	曼
mjqy	瞒
mjtm	埋
mjtq	墁
mjxh	𬜬
mjxq	蔓
mjxz	颟
mjyq	鳗
mjzq	嫚
mkba	溟
mkbh	洺
mkeh	酩
mkgp	命
mkhy	鸣
mkia	冥
mkkh	铭
mklh	名
mkma	螟
mkqa	暝
mkqa	瞑
mkqv	明
mkxh	茗
mmbc	湎
mmbo	沔
mmbp	渑
mmcc	愐
mmcc	面
mmcp	勔
mmfc	偭
mmhg	呒
mmhp	呣
mmja	绵
mmjc	缅
mmno	丏
mmoa	棉
mmqo	眄
mmqu	眠
mmrp	勉
mmrr	免
mmvc	腼
mmwr	冕
mmyr	𩾃
mmzr	娩
mnbb	淼
mnbe	渺
mnep	邈
mnhp	喵
mnje	缈
mnje	缪
mnlp	描
mnoe	杪
mnqe	眇
mnqp	瞄
mnsp	庙
mnwe	秒
mnxa	藐
mnxp	苗
mnxy	鹋
mnze	妙
moat	馍
mobt	漠
mobt	没
moby	沫
modt	谟
moet	貘
moey	貊
mogg	无
moit	寞
mojt	𬙊
mokt	镆
molt	殁
molt	摸
moly	抹
momy	靺
monj	耱
mono	万
moot	模
mopy	陌
morn	默
mort	墨
mosj	磨
mosl	摩
mosp	魔
most	麽
most	瘼
motc	蓦
motl	摹
mott	莫
movr	脉
movt	膜
mowy	秣
moxj	蘑
moxl	藦
moxy	茉
moyy	末
mozt	嫫
mozt	嬷
mphk	咩
mpnr	灭
mpoo	乜
mpra	篾
mpxa	蔑
mqde	谬
mqje	缪
mubo	沐
mucq	牧
muct	牡
muft	仫
mukp	𬭁
mukq	钼
mulp	拇
mumc	毪
muoo	木
muot	模
mupp	母
muqq	目
muqt	睦
muta	幕
mutc	慕
mutc	牟
mutp	募
mutq	暮
mutt	墓
muvp	亩
muwe	穆
muxq	苜
muzp	𧿹
muzp	姆
mwbn	渼
mwbq	湄
mwbr	浼
mwbt	没
mwcp	霉
mwep	酶
mwfp	每
mwgq	瑂
mwgq	玫
mwin	美
mwip	郿
mwiq	眉
mwiy	寐
mwiy	鹛
mwkn	镁
mwkq	镅
mwop	梅
mwoq	枚
mwoq	楣
mwpy	魅
mwqy	昧
mwro	煤
mwsd	糜
mwun	袂
mwxp	莓
mwyq	嵋
mwzn	媄
mwzo	媒
mwzq	媚
mwzy	妹
mzdo	谋
mzfc	侔
mzhc	哞
mzje	缪
mzmc	蛑
mzmo	某
mzqc	眸
mzsk	鍪
mztc	牟
nagl	拿
nahg	呐
nahp	哪
naip	乸
najg	纳
nakg	钠
nakl	镎
naly	捺
naop	那
napk	南
naug	衲
navg	肭
naxp	𦰡
nazp	娜
nbfc	您
ncbp	淖
nccw	恼
ncga	瑙
nchq	呶
ncja	硇
nckb	铙
nclb	挠
ncmb	蛲
ncnn	孬
nctw	垴
ncvc	臑
ncvo	猱
ncvw	脑
ncvy	峱
ncwa	闹
ndce	耏
ndcy	耐
ndep	迺
ndfe	佴
ndny	奈
ndoy	柰
ndrv	氖
ndvo	鼐
ndvv	乃
ndxv	艿
ndxy	萘
ndzv	奶
nedg	讷
nehp	哪
neht	呢
nffc	恁
nfzq	嫩
nghc	嗯
ngtt	能
nhan	馕
nhhn	囔
nhin	囊
nhln	攮
nhqn	曩
nhyn	齉
niap	逆
nibb	溺
nibt	泥
nica	霓
nict	怩
niea	𫐐
nifa	倪
nifg	你
nift	伲
niga	𫠜
niht	呢
niit	尼
nika	麑
nikt	铌
nilg	拟
nipa	𨺙
niqa	睨
niqt	昵
nist	旎
nitt	坭
niva	猊
nivz	腻
niwh	匿
nixk	薿
niya	鲵
nizt	妮
njez	囡
njhk	喃
njmk	蝻
njok	楠
njpk	南
njpp	男
njqg	难
njtq	赧
njvk	腩
njxk	萳
njzk	婻
nkbk	凝
nkby	泞
nkey	聍
nkfz	佞
nkhy	咛
nkil	甯
nkiy	宁
nkly	拧
nkoy	柠
nkvy	狞
nkxy	苧
nlec	酿
nlzc	娘
nmdh	粘
nmfa	年
nmjk	碾
nmlc	捻
nmle	撵
nmlh	拈
nmmm	廿
nmne	辇
nmtc	埝
nmwh	黏
nmxr	蔫
nmyh	鲇
nmzc	念
nnib	尿
nnvb	脲
nnxy	茑
nnyn	袅
nnyy	鸟
nocc	懦
nodc	糯
nodh	诺
nofg	傩
nohh	喏
nokh	锘
nolb	搦
nolp	挪
noxp	𦰡
nozp	娜
npbt	涅
npeq	聂
npez	颞
nphq	嗫
nphw	啮
npko	镍
npkq	镊
nplt	捏
npoo	乜
nppt	陧
npwo	𫔶
npxc	菍
npxd	糵
npxn	孽
npxo	蘖
npyo	嵲
npyo	臬
npzq	蹑
nqcc	牛
nqct	忸
nqjt	纽
nqkt	钮
nqlp	拗
nqlt	扭
nqot	杻
nqvt	狃
nqzt	妞
nrqq	暖
nsbn	浓
nsen	𬪩
nsfn	侬
nsgx	弄
nshn	哝
nsin	农
nsvn	脓
nswn	秾
ntan	虐
ntsn	疟
nufy	傉
nurq	笯
nuzc	驽
nuzc	怒
nuzg	胬
nuzj	砮
nuzn	孥
nuzo	弩
nuzp	努
nuzq	奴
nvat	衄
nvcc	恧
nvkz	钕
nvzz	女
nwaz	馁
nwwg	内
nzny	耨
oohn	噢
oohr	哦
oubn	沤
oucn	怄
oudn	讴
oufb	偶
ouhn	呕
ounb	耦
ounw	𠙶
ourn	𬉼
outn	𫭟
ouwg	欧
ouwl	瓯
ouwn	区
ouwt	殴
ouwy	鸥
ouxb	藕
paay	帕
pabv	潖
pacy	怕
paev	舥
pagv	琶
pahy	啪
pala	扒
pamv	爬
panv	耙
paov	杷
parv	筢
paxv	葩
paza	趴
pbaz	贫
pbct	牝
pbeo	聘
pbgp	颦
pbgt	玭
pbgz	频
pbhh	品
pblx	拼
pbxz	𬞟
pbza	嫔
pbzx	姘
pcbv	泡
pchv	咆
pclp	抛
pcnv	匏
pcrv	炮
pcsv	庖
pcsv	疱
pcuv	袍
pcvn	脬
pcvv	狍
pcws	刨
pczv	跑
pdbk	派
pdbw	湃
pdfn	俳
pdhk	哌
pdln	排
pdly	拍
pdnp	牌
pdrp	簰
pdun	徘
pdxk	蒎
pdyp	迫
pfaa	盆
pfba	湓
pfhz	喷
pgbe	澎
pgbv	淜
pgcp	怦
pghe	嘭
pgjp	砰
pgjv	硼
pgjw	碰
pgll	捧
pglp	抨
pgls	搒
pgme	蟛
pgov	弸
pgov	棚
pgow	椪
pgrp	篷
pgte	彭
pgtv	堋
pgur	烹
pgve	膨
pgvv	朋
pgvy	鹏
pgxn	芃
pgxp	蓬
phbs	滂
phcs	雱
phis	旁
phjs	磅
phms	螃
phns	耪
phpa	乓
phqp	逄
phsd	庞
phus	彷
phvl	胖
phvs	膀
phys	鳑
piar	罴
piba	淠
pibs	澼
picn	𬳵
pics	霹
piee	皮
piet	貔
pifn	伾
pifs	僻
pift	仳
pigt	琵
pihp	啤
pihs	噼
piid	譬
piil	甓
piis	辟
piis	劈
piit	屁
piiy	䴙
pijt	纰
pijt	砒
pike	铍
pile	披
pilt	批
pimp	蜱
pimt	蚍
pinh	否
pinn	丕
pinp	邳
piot	枇
pipe	陂
pipp	陴
pipt	毗
piqp	睥
pise	疲
pish	痞
piss	癖
pith	嚭
pitn	坯
pitp	埤
pitp	鼙
pitv	圮
pivn	狉
pivp	脾
piwa	匹
pixa	苉
piye	鲏
piyp	郫
pizt	媲
pjaq	叛
pjas	判
pjbl	泮
pjbp	潘
pjea	盘
pjej	磐
pjeo	槃
pjjp	磻
pjmp	番
pjmp	蟠
pjnn	爿
pjol	攀
pjpl	畔
pjqs	盼
pjul	襻
pjul	袢
pjvl	胖
pjzy	蹒
pkal	瓶
pkax	帡
pkbo	涄
pkbp	泙
pkbx	洴
pkdp	评
pkfn	凭
pkfo	俜
pkgp	玶
pkix	屏
pkmp	蚲
pknp	平
pkop	枰
pkpe	乒
pktp	坪
pkxp	苹
pkxp	萍
pkxx	荓
pkyp	鲆
pkzo	娉
pmcx	骈
pmcx	犏
pmcx	骗
pmdx	谝
pmfn	便
pmfx	偏
pmim	翩
pmix	扁
pmnn	片
pmon	楩
pmrx	篇
pmtx	𡎚
pmvx	胼
pmzn	㛹
pmzx	蹁
pnby	漂
pncy	骠
pnem	瓢
pnen	飘
pnes	剽
pney	票
pnhy	嘌
pnjy	缥
pnln	殍
pnmy	螵
pnoa	朴
pnqy	瞟
pnxy	蔈
pnxy	薸
pnzy	嫖
pobq	泼
poby	泊
pobz	婆
pody	粕
poeq	酦
poez	颇
pofj	繁
pogy	珀
poje	破
poka	钋
pokh	钷
pokq	䥽
pomp	鄱
pooa	朴
poon	桲
porh	笸
pote	坡
powh	叵
poyp	魄
poyp	皤
poyp	迫
ppaq	瞥
ppkq	𬭯
pplq	撇
ppre	氕
ppxn	苤
puaq	普
pubi	濮
pubq	潽
pubq	浦
pubs	瀑
puby	溥
pudq	谱
pueq	酺
pueq	圃
pufa	仆
puft	堡
pugi	璞
puhi	噗
puki	镤
pukq	镨
pukq	铺
pula	扑
pumq	氆
puoa	朴
puqs	曝
puti	墣
putq	埔
puvq	脯
puwi	穙
puwq	匍
puxh	菩
puxq	蒲
puxq	莆
puxq	蒱
puxq	葡
puzi	蹼
pwaa	衃
pwae	帔
pwba	沛
pwca	霈
pweh	醅
pwev	配
pwfa	佩
pwhn	呸
pwjh	辔
pwkh	锫
pwnn	裴
pwph	陪
pwsa	旆
pwth	培
pwvn	胚
pwzh	赔
pzas	剖
pzla	抔
pzlh	掊
pzny	裒
qbag	亲
qbbc	沁
qbbw	溱
qbcq	骎
qbcw	慬
qbep	覃
qbfq	侵
qbgb	禽
qbgz	琴
qbhb	噙
qbhc	吣
qbhw	嗪
qbiq	寝
qbiw	秦
qbkg	钦
qbkq	锓
qblb	擒
qblg	揿
qbmp	勤
qbob	檎
qboz	梣
qbxy	芹
qbxz	芩
qbyg	嵚
qbzn	衾
qiaa	齐
qiba	泣
qiba	淇
qibb	漆
qibl	汔
qibo	柒
qibp	洓
qibr	汽
qibs	沏
qibz	凄
qica	骐
qicq	愭
qicy	骑
qidl	讫
qiek	𬨂
qifl	乞
qifp	迄
qifr	俟
qiga	琪
qigg	企
qigq	歧
qigv	玘
qigy	琦
qihg	嘁
qihh	器
qiih	启
qiio	棨
qije	缉
qijn	碶
qijs	砌
qijy	磜
qijy	绮
qijz	碛
qika	麒
qiky	锜
qima	蛴
qima	蜞
qima	其
qimg	欺
qimj	綦
qimv	期
qina	亓
qing	欹
qinn	亟
qinp	郪
qiny	奇
qinz	妻
qioa	棋
qioe	栖
qiog	槭
qiov	杞
qiov	桤
qipp	𨙸
qipq	耆
qipt	畦
qirg	戚
qirr	气
qisa	旗
qitt	七
qity	埼
qity	圻
qiua	祺
qiuk	祇
qiup	祁
qiuy	祈
qiva	脐
qivx	弃
qiwc	憩
qiwn	契
qixa	萁
qixa	荠
qixe	葺
qixk	芪
qixv	芑
qixy	蕲
qixy	䓫
qixz	萋
qiya	鲯
qiyp	鳍
qiyq	岐
qiyq	鳍
qiyv	岂
qiyv	屺
qiyy	崎
qiyz	颀
qizn	蹊
qizq	跂
qizv	起
qizy	婍
qkag	亲
qkbv	清
qkcv	情
qkdv	请
qkee	轻
qkev	圊
qkfz	倾
qkij	綮
qkjp	卿
qkjv	碃
qkmv	蜻
qkqv	晴
qkre	氢
qkrg	黥
qkrv	氰
qkrv	箐
qksn	庆
qksz	庼
qktj	磬
qktz	罄
qktz	顷
qkup	勍
qkwv	青
qkxh	苘
qkxl	擎
qkxo	檠
qkyv	鲭
qlgr	戗
qlgv	玱
qlhv	呛
qlie	羟
qlio	羌
qlkm	镪
qlkv	锖
qlky	锵
qllv	抢
qlmo	蜣
qlnr	戕
qloh	樯
qlom	强
qlov	枪
qlrv	炝
qlth	墙
qlum	襁
qlve	腔
qlxh	蔷
qlxm	蔃
qlzh	嫱
qlzv	跄
qmaa	虔
qmas	前
qmbq	潜
qmbr	浅
qmbx	汧
qmch	慊
qmcp	犍
qmct	悭
qmdh	谦
qmdp	谴
qmeo	椠
qmet	堑
qmfv	倩
qmfw	仟
qmfz	伣
qmhg	歉
qmic	骞
qmil	搴
qmin	褰
qmjh	磏
qmjp	缱
qmjv	𬘬
qmjw	纤
qmkc	愆
qmkh	铅
qmkm	钳
qmkr	钱
qmkw	钎
qmkz	钤
qmlv	掮
qmlw	扦
qmmp	遣
qmmw	靬
qmnc	牵
qmow	杄
qmpl	乾
qmpw	阡
qmrt	签
qmrz	黔
qmsg	欠
qmsy	鹐
qmtl	墘
qmtt	佥
qmtw	圲
qmvg	肷
qmwp	迁
qmww	千
qmxe	茜
qmxg	芡
qmxv	蒨
qmxw	芊
qmxy	荨
qmyg	嵌
qmyx	岍
qnaa	乔
qnbm	翘
qncr	憔
qncr	愀
qncv	悄
qndr	谯
qndv	诮
qneo	巧
qnfa	侨
qnfv	俏
qngg	雀
qngs	劁
qnio	窍
qnja	硚
qnjb	硗
qnjo	缲
qnkr	锹
qnlm	撬
qnma	鞒
qnmv	鞘
qnoa	桥
qnom	橇
qnor	樵
qnqr	瞧
qntn	壳
qnuq	敲
qnxa	荞
qnya	峤
qnyv	峭
qnzb	跷
qpaz	妾
qpch	慊
qpcn	惬
qpct	怯
qpfh	伽
qpis	窃
qpkn	锲
qpnp	郄
