行号	词	词频	原拼音	辅助拼音	词典读音	简单鹤	鲸凉鹤	采用	依据	问题
14071	咖啡杯	70	ga1/ka1 fei1 bei1	kafeibei				待分配	证据不足或仍冲突；待分配	
14087	布莱思	70	bu4 lai2 sai1/si1	bulaisi				待分配	证据不足或仍冲突；待分配	
14175	伯克	69	bai3/bo2 ke4	boke				待分配	证据不足或仍冲突；待分配	
14176	伯内特	69	bai3/bo2 nei4 te4	boneite				待分配	证据不足或仍冲突；待分配	
14180	共和军	69	gong1/gong4 he2/he4/hu2/huo2/huo4 jun1	gonghejun				待分配	证据不足或仍冲突；待分配	
14191	史特卡	69	shi3 te4 ka3/qia3	shiteka				待分配	证据不足或仍冲突；待分配	
14211	布丽奇特	69	bu4 li2/li4 ji1/qi2 te4	buliqite				待分配	证据不足或仍冲突；待分配	
14226	摩利	69	ma1/mo2 li4	moli				待分配	证据不足或仍冲突；待分配	
14250	的卡	69	de5/di2/di4 ka3/qia3	deka				待分配	证据不足或仍冲突；待分配	
14280	马克·安东尼	69	ma3 ke4 #an1 dong1 ni2	make*andongni				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
14290	伊卡洛斯	68	yi1 ka3/qia3 luo4 si1	yikaluosi				待分配	证据不足或仍冲突；待分配	
14389	阿提娅	68	a1/a5/e1 di1/ti2 ya4	atiya				待分配	证据不足或仍冲突；待分配	
14407	交还	67	jiao1 huan2	jiaohuan	jiao1 huan2	jiao hai	jiao hai | jiao huan	待分配	两鹤与原始音节、Chai相互矛盾；待裁决	不能仅靠两鹤一致覆盖另一组一致证据
14447	恐吓信	67	kong3 he4/xia4 xin4	kongxiaxin				待分配	证据不足或仍冲突；待分配	
14518	阿文	67	a1/a5/e1 wen2	awen				待分配	证据不足或仍冲突；待分配	
14521	霍奇斯	67	huo4 ji1/qi2 si1	huoqisi				待分配	证据不足或仍冲突；待分配	
14564	家长会	66	jia1/jia5/jie5 chang2/zhang3 hui4/kuai4	jiachanghui				待分配	证据不足或仍冲突；待分配	
14574	情报员	66	qing2 bao4 yuan2/yun2/yun4	qingbaoyuan				待分配	证据不足或仍冲突；待分配	
14578	扳倒	66	ban1/pan1 dao3/dao4	bandao				待分配	证据不足或仍冲突；待分配	
14586	斯坦·罗斯	66	si1 tan3 #luo1/luo2/luo5 si1	sitan*luosi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
14621	艾丽卡	66	ai4/yi4 li2/li4 ka3/qia3	ailika				待分配	证据不足或仍冲突；待分配	
14622	荳	66	#	*	dou4			待分配	孤立多音字无语境；待分配	
14686	娜迪亚	65	na4/nuo2 di2 ya4	nadiya				待分配	证据不足或仍冲突；待分配	
14749	缉	65	ji1/qi1	ji	ji1 | qi1			待分配	孤立多音字无语境；待分配	
14750	缪	65	miao4/miu4/mou2	miao	miao4 | miu4 | mou2			待分配	孤立多音字无语境；待分配	
14771	配给	65	pei4 gei3/ji3	peigei	pei4 ji3	pei gei | pei ji	pei gei | pei ji	待分配	参考异读无法消歧；待分配	整词词典与辅助拼音矛盾；两份参考不能唯一确定
14794	兄长	64	xiong1 chang2/zhang3	xiongzhang	xiong1 zhang3	xiong chang | xiong zhang	xiong chang | xiong zhang	待分配	参考异读无法消歧；待分配	两份参考不能唯一确定
14878	自大狂	64	zi4 dai4 kuang2	zidakuang				待分配	证据不足或仍冲突；待分配	原始两拼音字段矛盾
14880	苏茜	64	su1 qian4/xi1	suxi				待分配	证据不足或仍冲突；待分配	
14884	讬	64	#	*	tuo1			待分配	孤立多音字无语境；待分配	
14922	加思	63	jia1 sai1/si1	jiasi				待分配	证据不足或仍冲突；待分配	
14927	卡特里娜	63	ka3/qia3 te4 li3 na4/nuo2	katelina				待分配	证据不足或仍冲突；待分配	
14940	埃伯特	63	ai1 bai3/bo2 te4	aibote				待分配	证据不足或仍冲突；待分配	
14941	多重	63	duo1 chong2/zhong4	duozhong	duo1 zhong4	duo chong | duo zhong	duo chong | duo zhong	待分配	参考异读无法消歧；待分配	两份参考不能唯一确定
14942	大个	63	da4/dai4 ge3/ge4	dage				待分配	证据不足或仍冲突；待分配	
15016	蛤	63	ge2/ha2	ge	ge2 | ha2			待分配	孤立多音字无语境；待分配	
15022	贾马尔	63	gu3/jia3 ma3 er3	jiamaer				待分配	证据不足或仍冲突；待分配	
15045	两千万	62	liang3 qian1 mo4/wan4	liangqianwan				待分配	证据不足或仍冲突；待分配	
15061	南加州	62	na1/nan2 jia1 zhou1	nanjiazhou				待分配	证据不足或仍冲突；待分配	
15062	卡米拉	62	ka3/qia3 mi3 la1/la2/la3/la4	kamila				待分配	证据不足或仍冲突；待分配	
15069	呯	62	#	*	ping2			待分配	孤立多音字无语境；待分配	
15070	咖	62	ga1/ka1	ka	ga1 | ka1			待分配	孤立多音字无语境；待分配	
15092	屏	62	bing3/ping2	ping	bing3 | ping2			待分配	孤立多音字无语境；待分配	
15099	惠勒	62	hui4 le4/lei1	huile				待分配	证据不足或仍冲突；待分配	
15146	纳塔丽	62	na4 da5/ta3 li2/li4	natali				待分配	证据不足或仍冲突；待分配	
15183	雀	62	qiao1/qiao3/que4	que	qiao1 | qiao3 | que4			待分配	孤立多音字无语境；待分配	
15202	伍兹	61	wu3 ci2/zi1	wuzi				待分配	证据不足或仍冲突；待分配	
15223	婴儿车	61	ying1 er2 che1/ju1	yingerche				待分配	证据不足或仍冲突；待分配	
15249	托尼·阿尔梅达	61	tuo1 ni2 #a1/a5/e1 er3 mei2 da2	tuoni*aermeida				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
15307	维罗尼卡	61	wei2 luo1/luo2/luo5 ni2 ka3/qia3	weiluonika				待分配	证据不足或仍冲突；待分配	
15311	艾波尔	61	ai4/yi4 bo1 er3	aiboer				待分配	证据不足或仍冲突；待分配	
15313	茄	61	jia1/qie2	qie	jia1 | qie2			待分配	孤立多音字无语境；待分配	
15317	蔓	61	man2/man4/wan4	man	man2 | man4 | wan4			待分配	孤立多音字无语境；待分配	
15374	卡罗尔	60	ka3/qia3 luo1/luo2/luo5 er3	kaluoer				待分配	证据不足或仍冲突；待分配	
15415	明摆着	60	ming2 bai3 zhe5	mingbaizhuo				待分配	证据不足或仍冲突；待分配	原始两拼音字段矛盾
15464	若福	60	re3/ruo4 fu2	ruofu				待分配	证据不足或仍冲突；待分配	
15467	着称	60	zhu4 cheng1	zhucheng				待分配	证据不足或仍冲突；待分配	
15522	奥斯卡奖	59	ao4 si1 ka3/qia3 jiang3	aosikajiang				待分配	证据不足或仍冲突；待分配	
15523	奥黛丽	59	Ao4 da4 li4	aodaili				待分配	证据不足或仍冲突；待分配	原始两拼音字段矛盾
15564	柏格	59	bai3/bo2/bo4 ge1/ge2	baige				待分配	证据不足或仍冲突；待分配	
15592	礼拜六	59	li3 bai4 liu4/lu4	libailiu				待分配	证据不足或仍冲突；待分配	
15605	萨曼塔	59	sa4 man4 da5/ta3	samanta				待分配	证据不足或仍冲突；待分配	
15611	说客	59	shui4 ke4	shuike	shui4 ke4	shuo ke	shuo ke	待分配	两鹤与原始音节、Chai相互矛盾；待裁决	不能仅靠两鹤一致覆盖另一组一致证据
15622	重头	59	chong2/zhong4 tou2	zhongtou	zhong4 tou2	chong tou | zhong tou	chong tou | zhong tou	待分配	参考异读无法消歧；待分配	两份参考不能唯一确定
15641	从那之后	58	cong1/cong2 na1/na3/na4/nei4 zhi1 hou4	congnazhihou				待分配	证据不足或仍冲突；待分配	
15645	便宜货	58	pian2 yi5 huo4	bianyihuo				待分配	证据不足或仍冲突；待分配	原始两拼音字段矛盾
15702	拉塞尔	58	la1/la2/la3/la4 sai1/sai4/se4 er3	lasaier				待分配	证据不足或仍冲突；待分配	
15740	盥洗室	58	guan4 xi3/xian3 shi4	guanxishi				待分配	证据不足或仍冲突；待分配	
15742	短短的	58	duan3 duan3 de5/di2/di4	duanduande				待分配	证据不足或仍冲突；待分配	
15760	褪	58	tui4/tun4	tui	tui4 | tun4			待分配	孤立多音字无语境；待分配	
15791	乐茜	57	le4/yue4 qian4/xi1	leqian				待分配	证据不足或仍冲突；待分配	
15825	塞西	57	sai1/sai4/se4 xi1	saixi				待分配	证据不足或仍冲突；待分配	
15872	玛格丽塔	57	ma3 ge1/ge2 li2/li4 da5/ta3	magelita				待分配	证据不足或仍冲突；待分配	
15903	轧	57	ga2/ya4/zha2	zha	ya4 | zha2			待分配	孤立多音字无语境；待分配	
15915	飚	57	biao1	biao	biao1			待分配	证据不足或仍冲突；待分配	
15944	凯茜	56	kai3 qian4/xi1	kaixi				待分配	证据不足或仍冲突；待分配	
15951	卡德	56	ka3/qia3 de2	kade				待分配	证据不足或仍冲突；待分配	
15967	奥德莉·瑞恩斯	56	ao4 de2 li4 #rui4 en1 si1	aodeli*ruiensi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
15968	奥提斯	56	ao4 di1/ti2 si1	aotisi				待分配	证据不足或仍冲突；待分配	
15980	布奇	56	bu4 ji1/qi2	buqi				待分配	证据不足或仍冲突；待分配	
16031	结扎	56	jie1/jie2 za1/zha1/zha2	jiezha	jie2 za1	jie za | jie zha	jie za | jie zha	待分配	参考异读无法消歧；待分配	整词词典与辅助拼音矛盾；两份参考不能唯一确定
16041	艾菲	56	ai4/yi4 fei1/fei3	aifei				待分配	证据不足或仍冲突；待分配	
16097	卡罗	55	ka3/qia3 luo1/luo2/luo5	kaluo				待分配	证据不足或仍冲突；待分配	
16158	朴敬元	55	piao2/po1/po4/pu3 jing4 yuan2	pujingyuan				待分配	证据不足或仍冲突；待分配	
16182	紧跟着	55	jin3 gen1 zhao1/zhao2/zhe5/zhuo2	jingenzhuo				待分配	证据不足或仍冲突；待分配	
16230	音乐节	55	yin1 yue4 jie2	yinlejie				待分配	证据不足或仍冲突；待分配	原始两拼音字段矛盾
16244	佛利	54	fo2/fu2 li4	foli				待分配	证据不足或仍冲突；待分配	
16253	刹	54	cha4/sha1	sha	cha4 | sha1			待分配	孤立多音字无语境；待分配	
16258	卡蒂	54	ka3/qia3 di4	kadi				待分配	证据不足或仍冲突；待分配	
16265	咔嚓	54	ka1/ka3 ca1/cha1	kaca	ka1 cha1	ka ca | ka cha	ka ca | ka cha	待分配	参考异读无法消歧；待分配	整词词典与辅助拼音矛盾；两份参考不能唯一确定
16343	盖斯	54	gai4/ge3 si1	gaisi				待分配	证据不足或仍冲突；待分配	
16347	佑	54	#	*	you4			待分配	孤立多音字无语境；待分配	
16383	阿米尔	54	a1/a5/e1 mi3 er3	amier				待分配	证据不足或仍冲突；待分配	
16405	五千万	53	wu3 qian1 mo4/wan4	wuqianwan				待分配	证据不足或仍冲突；待分配	
16425	卡利	53	ka3/qia3 li4	kali				待分配	证据不足或仍冲突；待分配	
16450	帧	53	zheng4	zheng	zhen1			待分配	证据不足或仍冲突；待分配	整词词典与原始拼音矛盾；整词词典与辅助拼音矛盾
16470	捱	53	ai1/ai2	ai	ai1 | ai2			待分配	证据不足或仍冲突；待分配	
16504	瓦妮莎	53	wa3/wa4 ni1 sha1/suo1	wanisha				待分配	证据不足或仍冲突；待分配	
16509	皮特·佩特利	53	pi2 te4 #pei4 te4 li4	pite*peiteli				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
16546	阿历克斯	53	a1/a5/e1 li4 ke4 si1	alikesi				待分配	证据不足或仍冲突；待分配	
16547	阿尔菲	53	a1/a5/e1 er3 fei1/fei3	aerfei				待分配	证据不足或仍冲突；待分配	
16567	佛瑞德	52	fo2/fu2 rui4 de2	foruide				待分配	证据不足或仍冲突；待分配	
16702	过家家	52	guo1/guo4 jia1/jia5/jie5 jia1/jia5/jie5	guojiajia				待分配	证据不足或仍冲突；待分配	
16711	都柏林	52	Du1 bo2 lin2	dubailin				待分配	证据不足或仍冲突；待分配	原始两拼音字段矛盾
16718	阿基拉	52	a1/a5/e1 ji1 la1/la2/la3/la4	ajila				待分配	证据不足或仍冲突；待分配	
16719	阿尔玛	52	a1/a5/e1 er3 ma3	aerma				待分配	证据不足或仍冲突；待分配	
16753	卡通片	51	ka3/qia3 tong1/tong4 pian1/pian4	katongpian				待分配	证据不足或仍冲突；待分配	
16778	宝琳娜	51	bao3 lin2 na4/nuo2	baolinna				待分配	证据不足或仍冲突；待分配	
16815	比安卡	51	bi3 an1 ka3/qia3	bianka				待分配	证据不足或仍冲突；待分配	
16859	翠茜	51	cui4 qian4/xi1	cuixi				待分配	证据不足或仍冲突；待分配	
16862	肯塔基州	51	ken3 da5/ta3 ji1 zhou1	kentajizhou				待分配	证据不足或仍冲突；待分配	
16877	贾斯丁	51	gu3/jia3 si1 ding1/zheng1	jiasiding				待分配	证据不足或仍冲突；待分配	
16890	阿加莎	51	a1/a5/e1 jia1 sha1/suo1	ajiasha				待分配	证据不足或仍冲突；待分配	
16891	阿尔伯克基	51	a1/a5/e1 er3 bai3/bo2 ke4 ji1	aerbokeji				待分配	证据不足或仍冲突；待分配	
16944	厄尔维奇	50	e4 er3 wei2 ji1/qi2	eerweiqi				待分配	证据不足或仍冲突；待分配	
16959	塞斯	50	sai1/sai4/se4 si1	saisi				待分配	证据不足或仍冲突；待分配	
16963	大儿子	50	da4/dai4 er2 zi3	daerzi				待分配	证据不足或仍冲突；待分配	
17004	斯宾塞	50	Si1 bin1 se4	sibinsai				待分配	证据不足或仍冲突；待分配	原始两拼音字段矛盾
17021	海地人	50	hai3 de5/di4 ren2	haidiren				待分配	证据不足或仍冲突；待分配	
17052	纳什维尔	50	na4 shen2/shi2 wei2 er3	nashiweier				待分配	证据不足或仍冲突；待分配	
17066	艾丽斯	50	ai4/yi4 li2/li4 si1	ailisi				待分配	证据不足或仍冲突；待分配	
17067	艾萨克	50	ai4/yi4 sa4 ke4	aisake				待分配	证据不足或仍冲突；待分配	
17071	菸	50	yan1	yan	yan1 | yu1 | yu4			待分配	证据不足或仍冲突；待分配	
17073	萨莎	50	sa4 sha1/suo1	sasha				待分配	证据不足或仍冲突；待分配	
17103	麦当娜	50	mai4 dang1/dang4 na4/nuo2	maidangna				待分配	证据不足或仍冲突；待分配	
17117	互助会	49	hu4 zhu4 hui4/kuai4	huzhuhui				待分配	证据不足或仍冲突；待分配	
17156	吱	49	zhi1/zi1	zhi	zhi1 | zi1			待分配	孤立多音字无语境；待分配	
17158	咖啡吧	49	ga1/ka1 fei1 ba1/ba5	kafeiba				待分配	证据不足或仍冲突；待分配	
17167	大忙人	49	da4/dai4 mang2 ren2	damangren				待分配	证据不足或仍冲突；待分配	
17192	拉莫塔	49	la1/la2/la3/la4 mo4 da5/ta3	lamota				待分配	证据不足或仍冲突；待分配	
17230	玛丽卡	49	ma3 li2/li4 ka3/qia3	malika				待分配	证据不足或仍冲突；待分配	
17247	纤	49	qian4/xian1	xian	qian4 | xian1			待分配	孤立多音字无语境；待分配	
17265	艾达	49	ai4/yi4 da2	aida				待分配	证据不足或仍冲突；待分配	
17297	长滩	49	chang2/zhang3 tan1	changtan				待分配	证据不足或仍冲突；待分配	
17313	高血压	49	gao1 xue4 ya1	gaoxueya	gao1 xie3 ya1			待分配	证据不足或仍冲突；待分配	整词词典与原始拼音矛盾；整词词典与辅助拼音矛盾
17347	克里斯蒂娜	48	ke4 li3 si1 di4 na4/nuo2	kelisidina				待分配	证据不足或仍冲突；待分配	
17387	威尔伯	48	wei1 er3 bai3/bo2	weierbo				待分配	证据不足或仍冲突；待分配	
17417	斯派克	48	si1 pa1/pai4 ke4	sipaike				待分配	证据不足或仍冲突；待分配	
17438	演奏会	48	yan3 zou4 hui4/kuai4	yanzouhui				待分配	证据不足或仍冲突；待分配	
17496	阿瓦隆	48	a1/a5/e1 wa3/wa4 long1/long2	awalong				待分配	证据不足或仍冲突；待分配	
17498	霍华德·休斯	48	huo4 hua1/hua2/hua4 de2 #xiu1 si1	huohuade*xiusi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
17508	鸡尾酒会	48	ji1 wei3/yi3 jiu3 hui4/kuai4	jiweijiuhui				待分配	证据不足或仍冲突；待分配	
17551	咖啡壶	47	ga1/ka1 fei1 hu2	kafeihu				待分配	证据不足或仍冲突；待分配	
17560	塞思	47	sai1/sai4/se4 sai1/si1	saisi				待分配	证据不足或仍冲突；待分配	
17562	大为	47	da4/dai4 wei2/wei4	dawei				待分配	证据不足或仍冲突；待分配	
17573	安娜斯塔西娅	47	an1 na4/nuo2 si1 da5/ta3 xi1 ya4	annasitaxiya				待分配	证据不足或仍冲突；待分配	
17691	防弹背心	47	fang2 dan4/tan2 bei1/bei4 xin1	fangdanbeixin				待分配	证据不足或仍冲突；待分配	
17744	嘢	46	#	*	ye3			待分配	孤立多音字无语境；待分配	
17755	塔雷克	46	da5/ta3 lei2 ke4	taleike				待分配	证据不足或仍冲突；待分配	
17789	我行	46	wo3 hang2/hang4/heng2/xing2	woxing			wo hang | wo xing	待分配	参考异读无法消歧；待分配	两份参考不能唯一确定
17817	桑契斯	46	sang1 qi4/xie4 si1	sangqisi				待分配	证据不足或仍冲突；待分配	
17849	祂	46	#	*	ta1			待分配	孤立多音字无语境；待分配	
17877	蓝尼	46	la5/lan2 ni2	lanni				待分配	证据不足或仍冲突；待分配	
17879	血淋淋	46	xue4 lin2 lin2	xuelinlin	xie3 lin2 lin2			待分配	证据不足或仍冲突；待分配	整词词典与原始拼音矛盾；整词词典与辅助拼音矛盾
17902	阿森纳	46	a1/a5/e1 sen1 na4	asenna				待分配	证据不足或仍冲突；待分配	
17925	什锦	45	shen2/shi2 jin3	shijin	shi2 jin3		shen jin | shi jin	待分配	参考异读无法消歧；待分配	两份参考不能唯一确定
17981	娜拉	45	na4/nuo2 la1/la2/la3/la4	nala				待分配	证据不足或仍冲突；待分配	
17986	小调	45	xiao3 diao4	xiaodiao	xiao3 diao4	xiao tiao	xiao diao | xiao tiao	待分配	两鹤与原始音节、Chai相互矛盾；待裁决	不能仅靠两鹤一致覆盖另一组一致证据
18007	拉里塔	45	la1/la2/la3/la4 li3 da5/ta3	lalita				待分配	证据不足或仍冲突；待分配	
18140	凯伦·海因斯	44	kai3 lun2 #hai3 yin1 si1	kailun*haiyinsi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
18143	刨	44	bao4/pao2	pao	bao4 | pao2			待分配	孤立多音字无语境；待分配	
18147	卡斯特	44	ka3/qia3 si1 te4	kasite				待分配	证据不足或仍冲突；待分配	
18148	卡罗琳	44	ka3/qia3 luo1/luo2/luo5 lin2	kaluolin				待分配	证据不足或仍冲突；待分配	
18149	卢西尔斯·乌瑞纳斯	44	lu2 xi1 er3 si1 #wu1/wu4 rui4 na4 si1	luxiersi*wuruinasi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
18152	厌食症	44	yan4 shi2/si4 zheng1/zheng4	yanshizheng				待分配	证据不足或仍冲突；待分配	
18203	成功率	44	cheng2 gong1 lu:4/shuai4	chenggonglv				待分配	证据不足或仍冲突；待分配	
18216	提摩西	44	di1/ti2 ma1/mo2 xi1	timoxi				待分配	证据不足或仍冲突；待分配	
18222	有效率	44	you3/you4 xiao4 lu:4/shuai4	youxiaolv				待分配	证据不足或仍冲突；待分配	
18229	梅丽莎	44	mei2 li2/li4 sha1/suo1	meilisha				待分配	证据不足或仍冲突；待分配	
18233	死死的	44	si3 si3 de5/di2/di4	siside				待分配	证据不足或仍冲突；待分配	
18244	澪	44	#	*	ling2			待分配	孤立多音字无语境；待分配	
18276	策划人	44	ce4 hua2/hua4/huai5 ren2	cehuaren				待分配	证据不足或仍冲突；待分配	
18288	艾儿	44	ai4/yi4 er2	aier				待分配	证据不足或仍冲突；待分配	
18291	莫尼卡	44	mo4 ni2 ka3/qia3	monika				待分配	证据不足或仍冲突；待分配	
18336	二重唱	43	er4 chong2 chang4	erzhongchang				待分配	证据不足或仍冲突；待分配	原始两拼音字段矛盾
